Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Civilian Employed Population 16 Years and Over in Households that Have a Computer,Total Civilian Household Population 16 Years and Over,Population 16 Years and Over in the Civilian Labor Force in Households,Civilian Employed Population 16 Years and Over in Households,Civilian Employed Population 16 Years and Over in Households that Have a Computer with Dial-up Internet Subscription Alone,Civilian Employed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription,Civilian Employed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription,Civilian Employed Population 16 Years and Over in Households that Have No Computer,Civilian Unemployed Population 16 Years and Over in Households,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with dial-up Internet Subscription Alone,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription,Civilian Unemployed Population 16 Years and Over in Households that Have No Computer,Population 16 Years and Over in Households who are Not in the Labor Force in Households,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with dial-up Internet Subscription Alone,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with a Broadband Internet Subscription,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer without an Internet Subscription,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have No Computer,Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Employed Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Unemployed Population 16 Years and Over in Households that Have No Computer,Percent of Population 16 Years and Over who are Not in the Labor Force in Households that Have No Computer,Shape Area,Shape Length
48214,10456,10456,36005007500,227618,0,Census Tract 75,New York,Bronx County,2100,4456,2431,2203,0,1757,343,103,228,228,0,213,15,0,2025,1420,0,1209,211,605,708,15.9,4.7,0.0,29.9,397828.0,2948.8213031434
48215,10472,10472,36005007600,217217,0,Census Tract 76,New York,Bronx County,1931,4199,2384,2116,0,1566,365,185,268,197,0,181,16,71,1815,1683,0,1485,198,132,388,9.2,8.7,26.5,7.3,379812.50390625,2682.26680639098
48216,10455,10455,36005007700,112827,0,Census Tract 77,New York,Bronx County,734,1440,848,755,0,612,122,21,93,93,0,84,9,0,592,450,0,417,33,142,163,11.3,2.8,0.0,24.0,197201.9140625,1813.3161524491
48216,10456,10456,36005007700,112827,0,Census Tract 77,New York,Bronx County,734,1440,848,755,0,612,122,21,93,93,0,84,9,0,592,450,0,417,33,142,163,11.3,2.8,0.0,24.0,197201.9140625,1813.3161524491
48216,10459,10459,36005007700,112827,0,Census Tract 77,New York,Bronx County,734,1440,848,755,0,612,122,21,93,93,0,84,9,0,592,450,0,417,33,142,163,11.3,2.8,0.0,24.0,197201.9140625,1813.3161524491
48217,10472,10472,36005007800,311879,0,Census Tract 78,New York,Bronx County,2675,5405,3155,2902,41,2182,452,227,253,236,0,217,19,17,2250,1907,0,1669,238,343,587,10.9,7.8,6.7,15.2,545271.1328125,3558.5982149183797
48218,10455,10455,36005007900,197930,0,Census Tract 79,New York,Bronx County,2154,4951,2661,2325,0,1664,490,171,336,287,0,246,41,49,2290,1749,0,1476,273,541,761,15.4,7.4,14.6,23.6,345908.73046875,3026.8942589926896
48219,10455,10455,36005008300,213932,0,Census Tract 83,New York,Bronx County,2625,4959,3219,2734,0,2425,200,109,485,485,0,379,106,0,1740,1508,0,1255,253,232,341,6.9,4.0,0.0,13.3,373852.25390625,2758.66681398839
48220,10473,10473,36005008400,156789,0,Census Tract 84,New York,Bronx County,1280,2136,1401,1318,0,1213,67,38,83,83,0,59,24,0,735,663,0,626,37,72,110,5.1,2.9,0.0,9.8,274010.0078125,2644.06542709036
48221,10455,10455,36005008500,181658,0,Census Tract 85,New York,Bronx County,1942,4031,2236,2046,0,1750,192,104,190,190,0,146,44,0,1795,1350,0,1093,257,445,549,13.6,5.1,0.0,24.8,317476.48828125,2600.68543501319
48221,10459,10459,36005008500,181658,0,Census Tract 85,New York,Bronx County,1942,4031,2236,2046,0,1750,192,104,190,190,0,146,44,0,1795,1350,0,1093,257,445,549,13.6,5.1,0.0,24.8,317476.48828125,2600.68543501319
48222,10473,10473,36005008600,187658,0,Census Tract 86,New York,Bronx County,1366,3046,1497,1397,0,1111,255,31,100,92,0,50,42,8,1549,1282,0,701,581,267,306,10.0,2.2,8.0,17.2,327997.58203125,2589.4099737611105
48223,10459,10459,36005008700,213574,0,Census Tract 87,New York,Bronx County,2147,4641,2588,2262,0,1859,288,115,326,291,0,257,34,35,2053,1381,0,1100,281,672,822,17.7,5.1,10.7,32.7,373289.80859375,2801.5376865798803
48224,10459,10459,36005008900,110291,0,Census Tract 89,New York,Bronx County,1023,2415,1229,1120,0,878,145,97,109,109,0,109,0,0,1186,732,0,625,107,454,551,22.8,8.7,0.0,38.3,192765.80078125,2102.59626956035
